file,race,person,counts,label_idx
m.010lz5_0002.jpg,African,m.010lz5,2,1
m.010lz5_0003.jpg,African,m.010lz5,3,1
m.011y5k_0002.jpg,African,m.011y5k,2,6
m.011y5k_0003.jpg,African,m.011y5k,3,6
m.011y5k_0004.jpg,African,m.011y5k,4,6
m.01257s_0002.jpg,African,m.01257s,2,9
m.01257s_0003.jpg,African,m.01257s,3,9
m.0126y2_0002.jpg,African,m.0126y2,2,11
m.0126y2_0003.jpg,African,m.0126y2,3,11
m.0126y2_0004.jpg,African,m.0126y2,4,11
m.012f1d_0002.jpg,African,m.012f1d,2,13
m.012f1d_0003.jpg,African,m.012f1d,3,13
m.012gl8_0001.jpg,African,m.012gl8,1,16
m.012gl8_0002.jpg,African,m.012gl8,2,16
m.012gr9_0001.jpg,African,m.012gr9,1,17
m.012mh__0002.jpg,African,m.012mh_,2,18
m.012mh__0003.jpg,African,m.012mh_,3,18
m.012mh__0004.jpg,African,m.012mh_,4,18
m.012mh__0005.jpg,African,m.012mh_,5,18
m.012mh__0006.jpg,African,m.012mh_,6,18
m.012mk7_0003.jpg,African,m.012mk7,3,19
m.012mk7_0002.jpg,African,m.012mk7,2,19
m.012mmb_0002.jpg,African,m.012mmb,2,20
m.012mmb_0003.jpg,African,m.012mmb,3,20
m.012qsp_0002.jpg,African,m.012qsp,2,22
m.012qsp_0003.jpg,African,m.012qsp,3,22
m.012qsp_0004.jpg,African,m.012qsp,4,22
m.012tmz_0002.jpg,African,m.012tmz,2,25
m.012tmz_0003.jpg,African,m.012tmz,3,25
m.012tmz_0004.jpg,African,m.012tmz,4,25
m.012vd6_0002.jpg,African,m.012vd6,2,27
m.012vd6_0003.jpg,African,m.012vd6,3,27
m.012vk4_0002.jpg,African,m.012vk4,2,28
m.012vk4_0003.jpg,African,m.012vk4,3,28
m.0139ps_0002.jpg,African,m.0139ps,2,36
m.0139ps_0003.jpg,African,m.0139ps,3,36
m.0139ps_0004.jpg,African,m.0139ps,4,36
m.013w7j_0002.jpg,African,m.013w7j,2,40
m.013w7j_0003.jpg,African,m.013w7j,3,40
m.015m2v_0002.jpg,African,m.015m2v,2,64
m.015pz3_0005.jpg,African,m.015pz3,5,67
m.015pz3_0004.jpg,African,m.015pz3,4,67
m.015pz3_0003.jpg,African,m.015pz3,3,67
m.015pz3_0002.jpg,African,m.015pz3,2,67
m.015pz3_0001.jpg,African,m.015pz3,1,67
m.015q3m_0002.jpg,African,m.015q3m,2,68
m.015q3m_0003.jpg,African,m.015q3m,3,68
m.015q3m_0004.jpg,African,m.015q3m,4,68
